,Route_name,Route_link
0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
1,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
2,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
3,Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam
4,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
5,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
6,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
7,Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal
8,Hyderabad to Adilabad,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad
9,Hyderabad to Ongole,https://www.redbus.in/bus-tickets/hyderabad-to-ongole
10,Kothagudem to Hyderabad,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad
11,Guntur (Andhra Pradesh) to Hyderabad,https://www.redbus.in/bus-tickets/guntur-to-hyderabad
12,Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur
13,Godavarikhani to Hyderabad,https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad
14,Hyderabad to Kothagudem,https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem
15,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
16,Hyderabad to Warangal,https://www.redbus.in/bus-tickets/hyderabad-to-warangal
17,Kodad to Hyderabad,https://www.redbus.in/bus-tickets/kodad-to-hyderabad
18,Jagityal to Hyderabad,https://www.redbus.in/bus-tickets/jagityal-to-hyderabad
19,Hyderabad to Bhadrachalam,https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam
20,Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi
21,Hyderabad to Godavarikhani,https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani
22,Hyderabad to Armoor,https://www.redbus.in/bus-tickets/hyderabad-to-armoor
23,Hyderabad to Nandyal,https://www.redbus.in/bus-tickets/hyderabad-to-nandyala
24,Hyderabad to Kodad,https://www.redbus.in/bus-tickets/hyderabad-to-kodad
25,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki
